P（場所・人物・もの）,O（触れる物体）,A(動作）,D（難問）,AP（オールプレイ）
騎士,ギター,注入,錬金術,てんぷら
刺青,ピストル,組む,泣き虫,バーゲン
遠足,木,書く,人工心臓,レコード
昆虫,はみがき粉,お辞儀,スイミングクラブ,Wii U
夏目漱石,シーツ,説教,異星人,ドラゴンクエスト
野口英世,机,懐かしむ,ゴビ砂漠,天地
福沢諭吉,温度計,捉える,アニメソング,みかん
樋口一葉,サドル,凍る,本物,苺
銀座,ちらし,舐める,謎,虹
執事,レンズ,怯える,音速,せんべい
チンパンジー,ロッカー,出発,非売品,天狗
ライト兄弟,コピー機,連射,活躍,河童
大学,ばね,踏む,方言,エリマキトカゲ
失恋,水鉄砲,観る,市長,急流
果樹園,豆,迎える,パーセント,カレーライス
学生,ズボン,飲む,純粋,羊羹
魔術士,フリル,変身,貧乏,サンドイッチ
軌道,竹馬,燃える,豊富,串団子
妖精,氷山,萌える,大変,コロッケ
四次元,バナナ,頼む,高価,パエリア
東京ビッグサイト,たまねぎ,生える,ビジネス,おでん
光線,ハンバーガー,話す,サバンナ,シチュー
師匠,ベルト,描く,母性,肉じゃが
師弟,かき氷,引っ掻く,正確,炒飯
死刑,バイオリン,渋る,性格,ハンバーグ
嵐,ハンモック,ほぐす,未知,しゃぶしゃぶ
陸軍,スパゲッティ,気付く,被害,茶碗蒸し
歴史,バット,叫ぶ,静寂,スープ
彗星,ソファー,ほとばしる,興味,焼売
遺伝子,パソコン,怒る,権力,PlayStation 4
魔法陣,体操服,壊す,大袈裟,アスパラ
プログラム,ふろしき,足す,刺激,唐辛子
円周率,トラクター,引く,奇妙,タマゴ
夏祭り,栗,掛ける,不快,タッチパネル
クリームソーダ,水,割る,哀愁,クレジットカード
テトリス,オムライス,転ぶ,陳腐,マンホール
ぷよぷよ,飛行機,泣く,自由,モグラたたき
折り紙,カセットテープ,走る,窮屈,パラシュート
校長先生,おたまじゃくし,回る,使う,ヘルメット
サラリーマン,タンス,並ぶ,申請,蛸（タコ）
音楽室,ひげ,見る,計画,イカ
美術室,同人誌,座る,過ごす,油
日本,ロケット,踊る,翻訳,船
殿様,メガネ,聴く,努力,ピンボール
スチュワーデス,ロボット,来る,支持,風船
医者,ワンピース,立つ,保証,パスワード
美容師,包帯,答える,警告,インターネット
教授,宝石,尋ねる,浪費,地震
システムエンジニア,薔薇,触れる,生命,台風
弁護士,和服,閉める,勇気,削除
イヌ,アドバルーン,置く,親切,アスキーアート
ネコ,DVD,呼ぶ,正直,エネルギー
キツネ,ブルーレイディスク,開ける,真実,都市
ブタ,魚,見せる,助言,就職
ラッコ,トランプ,投げる,哲学,学習
カバ,宝箱,歌う,経験,アルバイト
リス,プリンタ,読む,情報,映画
馬,カレンダー,取る,うながす,占い
虎,財布,受ける,習慣,iPhone
亀,自転車,落とす,打ち切り,カメラ
アヒル,消しゴム,落ちる,輸入,電池
ダチョウ,はさみ,寝る,琥珀,キノコ
パンダ,キーボード,食べる,賄賂,ラーメン
ゾウ,マウス,切る,無駄,ざるそば
イルカ,USBケーブル,運ぶ,需要,うどん
イモリ,マイク,発表する,ヒント,寿司
コウモリ,スピーカー,乗る,祝福,親子丼
ウシ,テーブル,笑う,合鍵,カツ丼
ヘビ,いす,頷く,頭金,焼肉
ライオン,ピアノ,起きる,因果,たこ焼き
ニワトリ,フルート,叩く,印象,お好み焼き
ゴリラ,トランペット,渡す,引用,日記
アルパカ,腕時計,保持する,違和感,通信販売
フラミンゴ,リボン,拭く,裏技,煙草
カマキリ,剣,去る,裏声,コンビニエンスストア
アザラシ,刀,滑る,運気,文房具
サイ,タオル,吠える,塩分,しりとり
クマ,歯ブラシ,振る,仮定,左利き
羊,スイカ,蹴る,仮想,俳句
ラクダ,ぶどう,ささやく,会員,曲芸
ネズミ,パイナップル,届ける,完璧,手品
鹿,りんご,飛ばす,幹事,パズル
蝶,ニンジン,釣る,管理,包丁
テントウムシ,大根,跳ぶ,アルゴリズム,こけし
カタツムリ,蛍光灯,刺す,休学,アクアリウム
トンボ,ビデオカメラ,追う,吉報,バイク
カブトムシ,スマートフォン,吹く,禁忌,自動車
クワガタ,岩,折る,記念,無線
ハチ,つるはし,揺れる,苦労,鉄道
カエル,カンテラ,拾う,仮病,プラモデル
医師,トロッコ,隠れる,傾向,ラジコン
マンション,盾,屈む,形式,サバイバルゲーム
科学,本棚,替える,景気,花火
長さ,花瓶,突進,検定,ダンス
高さ,槍,拡げる,検証,温泉
広さ,鏡,浮かべる,気配,遊園地
開発,線香,衝突,経営,動物園
到着,煙,つまづく,古典,水族館
試験,窓,現れる,国家,博物館
数学,鍵,消える,顧問,美術館
物理学,ドア（扉）,震える,作法,テント
化学,水道,知る,最強,宝くじ
放送,コンロ,覚える,最適,ファミリーコンピュータ
宇宙,鍋,嗅ぐ,詐欺,スーパーファミコン
カナダ,ティーカップ,味わう,主張,PlayStation
ロシア,皿,握る,心理学,Nintendo 64
中華人民共和国,ナイフ,着る,証明,Game Cube
フランス,フォーク,入る,名前,Nintendo DS
イギリス,箸,加わる,政治,Nintendo 3DS
イタリア,橋,働く,精霊,PlayStation Vita
スペイン,埴輪,休む,青春,PSP
ドイツ,土偶,始める,総会,YouTube
オーストラリア,古墳,吸う,他人,ニコニコ動画
インド,墓,買う,単語,Twitter
アフリカ,手紙,売る,単調,Facebook
北海道,鉛筆,会う,大会,オークション
東京,万年筆,合う,態度,Xbox 360
大阪,コート,送る,担当,封筒
京都,自動販売機,もらう,探検,はがき
沖縄,新聞紙,貸す,旅人,ノート
福岡,ネクタイ,習う,忠実,筆箱（ペンケース）
奈良,定規,泳ぐ,著作権,SDカード
名古屋,分度器,待つ,都合,Simカード
ニュース,半田ごて,曲がる,丁寧,フライパン
宿題,スイッチ,手伝う,天国,加湿器
メール,プロジェクター,脱ぐ,地獄,水筒
Webサイト,スクリーン,払う,定期券,のこぎり
Google,布団,弾く,定理,巻尺（メジャー）
Yahoo,ベッド,泊まる,定価,コンパス
Windows,シャワー,治す,提案,ロープ
Macintosh,テレビ,直す,添加物,段ボール
時間,冷蔵庫,考える,特売,はしご
川,洗濯機,渡る,盗作,ソーラーパネル
山,掃除機,選ぶ,任意,電子レンジ
草原,扇風機,通う,認証,床暖房
海,うちわ,止まる,年収,ものほし竿
空,マフラー,張る,熱意,表札
森,コタツ,飾る,呑気,倉庫
地下,ケーキ,戻す,能力,車庫
地上,アイスクリーム,騒ぐ,判断,ビニールハウス（温室）
太平洋,クッキー,守る,派手,煉瓦
ハワイ,プリン,外す,地味,瓦
大西洋,ステーキ,磨く,発明,コンクリート
インド洋,サラダ,咲く,必修,手すり
日本海,ドラム,太る,必然,換気扇
東シナ海,コーヒー,痩せる,悲劇,インターホン
台湾,靴下,叱る,批判,暖炉
Excel,靴,誘う,暇人,給湯器
PowerPoint,ドレス,起こす,標準,ファイナルファンタジー
模様,背広,盗む,秘伝,スーパーマリオブラザーズ
風呂,指輪,汚す,秘密,ドラえもん
リビング,ミサイル,死ぬ,不利,ミッキーマウス
ダイニング,こいのぼり,測る,普通,ふなっしー
ニュートン,イカダ,包む,風情,LEGO
アニメ,潜水艦,沸かす,風味,ペンダント
美術,ヘリコプター,減らす,偏差値,イヤリング
書道,戦車,乾かす,保守,ブレスレット
合唱,ハンガー,謝る,報告,ブローチ
春,弁当,焼く,放置,マスク
夏,ペットボトル,集める,方針,コンタクトレンズ
秋,ワイン,料理する,本心,シャンプー
冬,ワイングラス,捕まえる,法律,ティッシュペーパー
駐車場,アンテナ,伝える,味覚,殺虫剤
エレベーター,風車,訪れる,未完成,防水スプレー
エスカレーター,ビル,歩く,民営,おたま
工場,信号,吊るす,見本,泡立て器
発電所,砂,吸収,身分,フライ返し
灯台,ひまわり,同意,昔話,醤油差し
図書館,惑星,加速する,免疫,炊飯器
保健所,パン,拍手,目安,ゴミ箱
裁判所,辞書,同行,迷惑,ろうそく
税務署,金魚,貯める,迷宮,カーテン
警察署,月,無視,面倒,座布団
消防署,太陽,歪める,問題,雨傘
郵便局,ご飯,邪魔する,目次,日傘
病院,ペン,潜る,家賃,スリッパ
神社,板,漂う,役割,フードプロセッサー（ミキサー）
寺,ビール,敷く,役員,オーブン
港,麦,記入,役所,トースター
ホテル,髪,照らす,野望,ヘッドホン
プール,桜,示す,優先,リモコン
花見,牛乳,驚かす,優劣,絨毯（カーペット）
野球,CD,群がる,誘惑,ストロー
サッカー,ジャケット,傾ける,与党,輪ゴム
ボーリング,カーディガン,ねじる,世論,絆創膏
綱引き,鳥かご,覆す,予想,ピンセット
ビリヤード,ワッフル,悩ませる,容疑者,待ち針
ダーツ,ストーブ,競う,用事,裁縫
ゴルフ,バス停,投票する,用語,糸
テニス,バス,量る,乱入,ミシン
スキー,スポンジ,掘る,来客,洋服ボタン
スノーボード,わたがし,交わる,了承,指ぬき
バンジージャンプ,白衣,打つ,履歴,糸通し（ひも通し）
リバーシ（オセロ）,洗剤,鳴らす,理由,ボビン
チェス,ソファ,貼る,留守,クレヨン
将棋,壁,返す,練習,スケッチブック
囲碁,焼き鳥,押す,論文,墨汁
バドミントン,イヤホン,酔う,悪口,筆
バスケットボール,旗,助ける,若手,文鎮
